Id;Числовые значения;Текстовые данные
1;0,294310598;Некоторый текст для строки с номером 1 и числовым значением 0,294310598259611
2;0,826106076;Некоторый текст для строки с номером 2 и числовым значением 0,826106076227128
3;0,393347521;Некоторый текст для строки с номером 3 и числовым значением 0,393347520598626
4;0,377296193;Некоторый текст для строки с номером 4 и числовым значением 0,377296193022149
5;0,468262634;Некоторый текст для строки с номером 5 и числовым значением 0,468262634008104
6;0,829768598;Некоторый текст для строки с номером 6 и числовым значением 0,829768597876668
7;0,377229753;Некоторый текст для строки с номером 7 и числовым значением 0,377229752728105
8;0,361170422;Некоторый текст для строки с номером 8 и числовым значением 0,361170421689936
9;0,762986541;Некоторый текст для строки с номером 9 и числовым значением 0,7629865414598
10;0,544749098;
11;0,958614205;Некоторый текст для строки с номером 11 и числовым значением 0,958614204553182
12;0,836581744;Некоторый текст для строки с номером 12 и числовым значением 0,836581744495765
13;0,796532675;Некоторый текст для строки с номером 13 и числовым значением 0,796532675391506
14;0,004905299;Некоторый текст для строки с номером 14 и числовым значением 0,00490529939887785
15;0,624077639;Некоторый текст для строки с номером 15 и числовым значением 0,624077639134387
16;0,646849389;Некоторый текст для строки с номером 16 и числовым значением 0,646849389282557
17;0,510703432;Некоторый текст для строки с номером 17 и числовым значением 0,510703432052949
18;0,836241524;Некоторый текст для строки с номером 18 и числовым значением 0,836241524051783
19;0,341412712;
20;0,46853493;Некоторый текст для строки с номером 20 и числовым значением 0,468534930013205
21;0,826215289;Некоторый текст для строки с номером 21 и числовым значением 0,826215289216311
22;0,851123949;Некоторый текст для строки с номером 22 и числовым значением 0,851123948825957
23;0,746753622;Некоторый текст для строки с номером 23 и числовым значением 0,746753622432028
24;0,738605112;Некоторый текст для строки с номером 24 и числовым значением 0,738605111898991
25;0,82669237;Некоторый текст для строки с номером 25 и числовым значением 0,826692369570191
26;0,856398498;Некоторый текст для строки с номером 26 и числовым значением 0,856398498108582
27;0,083716917;Некоторый текст для строки с номером 27 и числовым значением 0,0837169168417555
28;0,918306062;Некоторый текст для строки с номером 28 и числовым значением 0,918306062323338
29;0,931134493;Некоторый текст для строки с номером 29 и числовым значением 0,931134492505161
30;0,421848008;Некоторый текст для строки с номером 30 и числовым значением 0,421848007966266
31;0,973551713;Некоторый текст для строки с номером 31 и числовым значением 0,973551713008567
32;0,659602306;Некоторый текст для строки с номером 32 и числовым значением 0,659602305953638
33;0,858891948;Некоторый текст для строки с номером 33 и числовым значением 0,858891948411298
34;0,065065314;Некоторый текст для строки с номером 34 и числовым значением 0,0650653137497527
35;0,331958528;Некоторый текст для строки с номером 35 и числовым значением 0,331958528156368
36;0,420615979;Некоторый текст для строки с номером 36 и числовым значением 0,420615978674489
37;0,965481503;Некоторый текст для строки с номером 37 и числовым значением 0,965481503482841
38;0,41861748;Некоторый текст для строки с номером 38 и числовым значением 0,418617479738394
39;0,731883938;Некоторый текст для строки с номером 39 и числовым значением 0,731883938071363
40;0,756608734;Некоторый текст для строки с номером 40 и числовым значением 0,756608733538219
41;0,349576472;Некоторый текст для строки с номером 41 и числовым значением 0,349576471686851
42;0,825874724;Некоторый текст для строки с номером 42 и числовым значением 0,825874723856365
43;0,672476006;Некоторый текст для строки с номером 43 и числовым значением 0,672476006033401
44;0,063367796;
45;0,950786357;Некоторый текст для строки с номером 45 и числовым значением 0,950786356676451
46;0,090537576;Некоторый текст для строки с номером 46 и числовым значением 0,0905375756931847
47;0,92682242;Некоторый текст для строки с номером 47 и числовым значением 0,926822419591395
48;0,871128024;Некоторый текст для строки с номером 48 и числовым значением 0,871128023918097
49;0,868780881;Некоторый текст для строки с номером 49 и числовым значением 0,868780880968456
50;0,915731023;Некоторый текст для строки с номером 50 и числовым значением 0,915731023355433
51;0,326477473;Некоторый текст для строки с номером 51 и числовым значением 0,326477473391544
52;0,834777154;Некоторый текст для строки с номером 52 и числовым значением 0,834777153675782
53;0,806789575;Некоторый текст для строки с номером 53 и числовым значением 0,806789575424343
